price_m2,price,m2,location
98504元/㎡,698万,70.86㎡,"汇贤雅居
徐家汇 南丹路368弄"
56532元/㎡,900万,159.2㎡,"华苑大厦
徐家汇 凯旋路3500号"
92948元/㎡,1280万,137.71㎡,"宜德苑
徐家汇 古宜路99弄"
86675元/㎡,510万,58.84㎡,"南丹路128弄小区
徐家汇 南丹路128弄"
87719元/㎡,500万,57㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
74230元/㎡,810万,109.12㎡,"番禺大楼
徐家汇 番禺路900号"
64581元/㎡,700万,108.39㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
84302元/㎡,768万,91.1㎡,"虹桥路400弄小区
徐家汇 虹桥路400弄"
64545元/㎡,710万,110㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
86685元/㎡,375万,43.26㎡,"南宜花苑
徐家汇 宜山路408弄1-22号"
79365元/㎡,800万,100.8㎡,"虹枫大楼
徐家汇 广元西路629号"
90044元/㎡,530万,58.86㎡,"南丹路128弄小区
徐家汇 南丹路128弄"
104295元/㎡,590万,56.57㎡,"汇贤雅居
徐家汇 南丹路368弄"
92388元/㎡,1090万,117.98㎡,"虹桥丽园
徐家汇 虹桥路591弄"
97633元/㎡,920万,94.23㎡,"鑫城苑
徐家汇 淮海西路343号"
84144元/㎡,899万,106.84㎡,"凯旋花苑
徐家汇 中漕路111号"
88144元/㎡,1000万,113.45㎡,"创世纪花园
徐家汇 零陵路789弄"
75000元/㎡,735万,98㎡,"上影广场公寓
徐家汇 零陵路791弄3号楼"
90257元/㎡,1260万,139.6㎡,"文定天下苑
徐家汇 文定路288弄"
93765元/㎡,370万,39.46㎡,"南丹小区
徐家汇 南丹小区"
94545元/㎡,988万,104.5㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
64581元/㎡,700万,108.39㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
89397元/㎡,1070万,119.69㎡,"鑫城苑
徐家汇 淮海西路343号"
